建案名稱,總價,格局/地坪,建坪,位置,網站
荷久暻,None,位址:,景觀宅,台南市安南區義吉街86巷,https://tainan.housetube.tw/36069
靜岡12.15,None,28~34,周武街,周武街,https://tainan.housetube.tw/36068
綠澗築3,None,68~73,安南區宜居路,安南區宜居路,https://tainan.housetube.tw/36059
東祥觀品,None,77.9起,新化崙仔頂131-6號,新化崙仔頂131-6號,https://tainan.housetube.tw/36057
惠丞建築 東門路全新店面,None,36~150,位址:,東區東門路二段392號,https://tainan.housetube.tw/36056
藏馥3,None,100起,台南市安南區長和路二段12巷261弄21號,台南市安南區長和路二段12巷261弄21號,https://tainan.housetube.tw/36055
鄰語堂2,None,22~28,富強路二段121巷27號,富強路二段121巷27號,https://tainan.housetube.tw/36054
儷城欣欣,None,未提供,台南市善化區坐駕里20-1號,台南市善化區坐駕里20-1號,https://tainan.housetube.tw/36047
靜岡13,None,未提供,麻豆區仁愛路,麻豆區仁愛路,https://tainan.housetube.tw/36035
連建拾泉,None,30~47,位址:,台南市安南區郡安路,https://tainan.housetube.tw/36026
小王子3,None,未提供,位址:,台南市安南區安昌街26巷,https://tainan.housetube.tw/36014
尚荷居,None,未提供,永康區中山南路(大同3C後面),永康區中山南路(大同3C後面),https://tainan.housetube.tw/36012
藍花楹2期,None,50~52,安定區管寮138之20號,安定區管寮138之20號,https://tainan.housetube.tw/36001
臻藏NO.5,None,60~96,慈興三街與慈興八街口,慈興三街與慈興八街口,https://tainan.housetube.tw/35978
臻藏NO.3,None,73~76,台南市安南區公學路六段721巷282號對面,台南市安南區公學路六段721巷282號對面,https://tainan.housetube.tw/35977
靜岡11,None,27~33,位址:,台南市新營區周武街235號,https://tainan.housetube.tw/35965
陽光城2,None,48~50,歸仁區七甲一街,歸仁區七甲一街,https://tainan.housetube.tw/35957
逸墅5,None,未提供,未提供,未提供,https://tainan.housetube.tw/35954
捷築鮮登2,None,未提供,未提供,未提供,https://tainan.housetube.tw/35949
植村樹3,None,46.3起,台南市善化區燈會街10號,台南市善化區燈會街10號,https://tainan.housetube.tw/35950
合申白舍,None,未提供,鹽水區,鹽水區,https://tainan.housetube.tw/35948
MoMA13森學,None,25.3~33.4,位址:,台南市歸仁區大仁街311巷,https://tainan.housetube.tw/35947
得冠故事,None,62起,台南市安平區州平二街與世平一街口,台南市安平區州平二街與世平一街口,https://tainan.housetube.tw/35942
上宸上富,None,52起,台南市七股區大埕里,台南市七股區大埕里,https://tainan.housetube.tw/35926
誠銳幸福,None,57~58,台南市六甲區中華路248巷,台南市六甲區中華路248巷,https://tainan.housetube.tw/35925
森見學,None,48~73,六甲區中華路35巷21號旁,六甲區中華路35巷21號旁,https://tainan.housetube.tw/35924
優學7,None,55~75,未提供,未提供,https://tainan.housetube.tw/35920
雙璽,None,50,位址:,永康區永大路二段700號,https://tainan.housetube.tw/35914
琚富2,None,未提供,位址:,未提供,https://tainan.housetube.tw/35912
大任之翼,None,22~36,台南市善化區公園路,台南市善化區公園路,https://tainan.housetube.tw/35911
天鑽7,None,45~60,位址:,台南市安平區安北路468-1號,https://tainan.housetube.tw/35910
臻藏2x3,None,28~32,位址:,安南區安富街1號,https://tainan.housetube.tw/35894
薪元墅2,None,60.3起,安定區管寮,安定區管寮,https://tainan.housetube.tw/35893
左岸大邁,None,61~74,總安街和新宅一街,總安街和新宅一街,https://tainan.housetube.tw/35882
寬薪園8期,None,45~50,學甲區,學甲區,https://tainan.housetube.tw/35871
戀公園,None,44.5~53.2,官田區鎮南段97等地號,官田區鎮南段97等地號,https://tainan.housetube.tw/35862
居閑3,None,52.9~74.5,台南市歸仁區崙頂二街,台南市歸仁區崙頂二街,https://tainan.housetube.tw/35861
正義富都,None,21.4起,位址:,台南市仁德區正義三街126號,https://tainan.housetube.tw/35855
真祥家,None,21~25,位址:,新市區中正路323巷27~35號,https://tainan.housetube.tw/35851
六甲狀元第-方正3,None,55~70,六甲區七甲街17巷內,六甲區七甲街17巷內,https://tainan.housetube.tw/35841
巨名慶餘,None,55~72.1,台南市善化區胡厝寮89-11號,台南市善化區胡厝寮89-11號,https://tainan.housetube.tw/35840
好享居NO.7,None,54.8~71.2,麻豆區新興街上,麻豆區新興街上,https://tainan.housetube.tw/35838
富冠大璽,None,55~61,新營區太子路53巷旁,新營區太子路53巷旁,https://tainan.housetube.tw/35835
春天NO.8,None,位址:,明星學區,歸仁區八甲段153-6號,https://tainan.housetube.tw/35825
成大喜悅2,None,62~63,關廟區花園一街173號,關廟區花園一街173號,https://tainan.housetube.tw/35824
楓尚宜居,None,69~91,安南區尊安街77號,安南區尊安街77號,https://tainan.housetube.tw/35790
大玉井2,None,48~52,台南市玉井區忠孝街362巷,台南市玉井區忠孝街362巷,https://tainan.housetube.tw/35777
墅無界5,None,129起,安平區育平路453號,安平區育平路453號,https://tainan.housetube.tw/35765
天慕II,None,位址:,社區,台南市安南區永續路,https://tainan.housetube.tw/35759
安居樂業,None,113~127,建平七街、建平五街22巷,建平七街、建平五街22巷,https://tainan.housetube.tw/35750
新化・市,None,未提供,未提供,未提供,https://tainan.housetube.tw/35721
樂沐樹谷,None,位址:,社區,台南市安定區中榮里,https://tainan.housetube.tw/35720
貝森朵夫7,None,位址:,社區,仁愛六街,https://tainan.housetube.tw/35708
誠銳華美,None,33~46,位址:,佳里區光華街與公園路口,https://tainan.housetube.tw/35681
瑞士山莊6,None,47起,台南市七股區樹林100-15號,台南市七股區樹林100-15號,https://tainan.housetube.tw/35680
風和日上3,None,未提供,未提供,未提供,https://tainan.housetube.tw/35679
川玉,None,128起,安平區育平八街66號,安平區育平八街66號,https://tainan.housetube.tw/35659
青水家園,None,24.5~24.7,位址:,台南市南區萬年七街256號,https://tainan.housetube.tw/35633
上禾,None,54.4~55.4,台南市善化區成功路3巷2號,台南市善化區成功路3巷2號,https://tainan.housetube.tw/35629
邰欣地堡76,None,56~60,海東一街,海東一街,https://tainan.housetube.tw/35625
羽田,None,65起,歸仁區仁愛12街16巷2號,歸仁區仁愛12街16巷2號,https://tainan.housetube.tw/35624
美夢成真NO.2-透天區,None,未提供,麻豆區新生南路33巷,麻豆區新生南路33巷,https://tainan.housetube.tw/35619
怡安盛市,None,24.5~26.4,位址:,怡安路二段(果菜市場斜對面),https://tainan.housetube.tw/35618
一森青,None,未提供,永康區大灣路40巷196號,永康區大灣路40巷196號,https://tainan.housetube.tw/35613
吾居5,None,47~49,南區德興街139及123巷旁,南區德興街139及123巷旁,https://tainan.housetube.tw/35606
心想事成6,None,62起,台南市安南區慈興六街,台南市安南區慈興六街,https://tainan.housetube.tw/35597
璽硯10,None,130起,歸仁區中正12街,歸仁區中正12街,https://tainan.housetube.tw/35596
布拉格Ⅱ,None,未提供,安南區環福街61巷12號,安南區環福街61巷12號,https://tainan.housetube.tw/35593
歐香公園NO.26-沐光,None,70~71,安南區北安路和新宅二街,安南區北安路和新宅二街,https://tainan.housetube.tw/35587
歐香公園NO.25-悅居,None,41~50,安南區北安路和新宅五街,安南區北安路和新宅五街,https://tainan.housetube.tw/35585
歐香公園NO.23-寬庭,None,56~79,安南區北安路和新宅五街,安南區北安路和新宅五街,https://tainan.housetube.tw/35584
花田囍事7,None,71,安平區光州三街,安平區光州三街,https://tainan.housetube.tw/35582
佳展大方,None,24~39,安平區建平路與建平十一街口(新南國小斜對面),安平區建平路與建平十一街口(新南國小斜對面),https://tainan.housetube.tw/35581
金莎麗緻7,None,47~51,安南區慈興路,安南區慈興路,https://tainan.housetube.tw/35578
金莎麗緻6,None,55.2起,安南區安興街228號,安南區安興街228號,https://tainan.housetube.tw/35577
偉人居NO.10,None,60~86,安南區新宅路與新宅二街口,安南區新宅路與新宅二街口,https://tainan.housetube.tw/35586
和宜勝利,None,27~37,永康區勝利街29號,永康區勝利街29號,https://tainan.housetube.tw/35571
佳順永康,None,26.1~49.9,永康區永安路和中正北路口,永康區永安路和中正北路口,https://tainan.housetube.tw/35570
民權別苑,None,未提供,新化區民權街,新化區民權街,https://tainan.housetube.tw/35569
富裕人生No.15,None,55.6~93.7,新宅一街與新宅三街,新宅一街與新宅三街,https://tainan.housetube.tw/35568
欣迎家,None,48~53,台南市新營區民生路386巷,台南市新營區民生路386巷,https://tainan.housetube.tw/35562
吾居吾墅,None,57.5~57.6,西港區港明中學後方,西港區港明中學後方,https://tainan.housetube.tw/35561
海鑽,None,73~85,未提供,未提供,https://tainan.housetube.tw/35560
富凰2020-公寓,None,位址:,低總價,新化區山腳里53-260號,https://tainan.housetube.tw/35558
臺邦樹屋,None,98~123,未提供,未提供,https://tainan.housetube.tw/35557
清閤苑Ⅴ,None,61~80,台南市歸仁區六甲八街,台南市歸仁區六甲八街,https://tainan.housetube.tw/35556
墨飛白,None,位址:,最新推案,台南市南區大同路二段640巷,https://tainan.housetube.tw/35553
公園伯爵NO.20,None,未提供,延平路,延平路,https://tainan.housetube.tw/35551
三發夢世代,None,未提供,永康區復國路53巷,永康區復國路53巷,https://tainan.housetube.tw/35539
夢享家,None,位址:,明星學區,仁和路95-10號旁,https://tainan.housetube.tw/35524
成家立業5期,None,46起,善化區東勢寮168-8號,善化區東勢寮168-8號,https://tainan.housetube.tw/35517
成家立業3,None,55起,善化區東勢寮168-8號,善化區東勢寮168-8號,https://tainan.housetube.tw/35516
晨曦,None,54.5起,台南市安平區育平路369號,台南市安平區育平路369號,https://tainan.housetube.tw/35502
春福采采,None,24~33,永康區復興路246巷,永康區復興路246巷,https://tainan.housetube.tw/35500
巴黎上品2,None,25,位址:,新宅五街,https://tainan.housetube.tw/35499
金品居1,None,41~49,安南區佃西段530-1~7地號,安南區佃西段530-1~7地號,https://tainan.housetube.tw/35498
朋緯不二,None,未提供,新化區崙頂里,新化區崙頂里,https://tainan.housetube.tw/35480
樂沐城東,None,位址:,社區,台南市安南區安明路四段,https://tainan.housetube.tw/35474
喜洋洋5,None,40~50,台南市安南區慈興六街與慈興七街口,台南市安南區慈興六街與慈興七街口,https://tainan.housetube.tw/35464
偉人居NO.9,None,68~99,安南區新宅路與新宅3街口,安南區新宅路與新宅3街口,https://tainan.housetube.tw/35457
理祥家園,None,未提供,柳營區十美街(柳營農會斜對面),柳營區十美街(柳營農會斜對面),https://tainan.housetube.tw/35455
正光寬大 樂齡宅,None,89~126,歸仁區國光街36號,歸仁區國光街36號,https://tainan.housetube.tw/35450
安建築2,None,位址:,低總價,民權三街36號,https://tainan.housetube.tw/35449
戀家17期,None,51~65,台南市新市區大營里11鄰,台南市新市區大營里11鄰,https://tainan.housetube.tw/35442
晴墅3,None,77.6~78,長和路與鎮安路,長和路與鎮安路,https://tainan.housetube.tw/35440
禾雅,None,位址:,近公園,台南市安南區頂安街533號旁,https://tainan.housetube.tw/35433
逍遙遊2,None,未提供,安南區長溪路三段373巷168號,安南區長溪路三段373巷168號,https://tainan.housetube.tw/35422
富躍居二期,None,位址:,明星學區,永康區中正南路692巷,https://tainan.housetube.tw/35416
宜群,None,123起,永康區永華路339巷39號,永康區永華路339巷39號,https://tainan.housetube.tw/35412
欣園堡No.3,None,64.9起,海中街774巷,海中街774巷,https://tainan.housetube.tw/35407
向日葵8,None,61~83,永康區龍中街280巷10弄,永康區龍中街280巷10弄,https://tainan.housetube.tw/35405
深耕7,None,位址:,社區,台南市永康區大灣一街9號旁,https://tainan.housetube.tw/35404
隱玉所2019,None,131起,北區文成三路920-1號,北區文成三路920-1號,https://tainan.housetube.tw/35392
Uni希建築8,None,63~80,裕永一街28號,裕永一街28號,https://tainan.housetube.tw/35390
覓境2,None,位址:,社區,新營區南昌街36之2號,https://tainan.housetube.tw/35381
青禾,None,未提供,後壁區校前二街,後壁區校前二街,https://tainan.housetube.tw/35380
富御八期,None,44~70,新營區土庫國小旁,新營區土庫國小旁,https://tainan.housetube.tw/35379
睦睦州南,None,75,台南市安南區州南五街,台南市安南區州南五街,https://tainan.housetube.tw/35378
city漾,None,位址:,社區,仁德區仁德四街6號,https://tainan.housetube.tw/35373
笑傲江湖,None,未提供,新營區中正路500巷88號,新營區中正路500巷88號,https://tainan.housetube.tw/35361
金生麗水3,None,120~120,台南市安南區長和路二段12巷292號,台南市安南區長和路二段12巷292號,https://tainan.housetube.tw/35359
楓尚,None,69.7~90.1,安南區尊安街81號旁,安南區尊安街81號旁,https://tainan.housetube.tw/35358
上邑21,None,59~77,永康區廣興街95巷,永康區廣興街95巷,https://tainan.housetube.tw/35343
睦里白,None,位址:,社區,龍埔街,https://tainan.housetube.tw/35326
日東昇詠美,None,位址:,社區,台南市永康區永康區龍國街,https://tainan.housetube.tw/35323
黃金巴洛克,None,未提供,六甲區進化街,六甲區進化街,https://tainan.housetube.tw/35322
德和大邁15,None,27.1~28.7,位址:,台南市善化區成功路,https://tainan.housetube.tw/35321
千逸2,None,51~58,台南市新市區大營里豐榮3-3~3-5號,台南市新市區大營里豐榮3-3~3-5號,https://tainan.housetube.tw/35304
城市之光,None,未提供,位址:,新營段927-306~927-317地號,https://tainan.housetube.tw/35297
花巷草弄30,None,未提供,台南市麻豆區興中路,台南市麻豆區興中路,https://tainan.housetube.tw/35285
